data,open,high,low,close,vol,amount,up,down,MA1,MA2,MA3,MA4,MA5,MA6,,MA1,MA2,MA3,K,D,J,DIFF,DEA,MACD,RSI1,RSI2,RSI3,
2016/7/26,3014.04,3050.61,3013.8,3050.17,156694512,1.85E+11,976,88,3029.146,3039.49,3012.505,2970.756,2922.802,2913.947,156694512,152984288,170450016,186925616,55.205,58.164,49.286,30.793,33.921,-6.255,64.278,63.473,59.482,58.333
2016/7/27,3050.37,3057.42,2939.23,2992,280160928,3.17E+11,102,971,3021.966,3032.621,3015.525,2974.249,2923.696,2916.75,280160928,181367920,173100160,191272880,51.052,55.793,41.569,25.894,32.316,-12.842,37.603,48.343,52.486,50
2016/7/28,2980.5,3003.36,2968.18,2994.32,190564944,2.18E+11,533,499,3013.028,3026.651,3018.761,2978.299,2923.724,2918.889,190564944,186727424,174137184,193077888,49.454,53.68,41.002,21.946,30.242,-16.591,38.819,48.873,52.717,50
2016/7/29,2992.54,3000.05,2972.92,2979.34,150101536,1.70E+11,292,753,3006.332,3019.155,3021.104,2981.44,2923.525,2921.31,150101536,184345696,171860688,193520656,44.282,50.547,31.751,17.407,27.675,-20.535,33.729,45.578,51.042,41.667
2016/8/1,2971.95,2972.88,2931.96,2953.39,147407760,1.62E+11,229,836,2993.844,3010.138,3019.344,2983.592,2922.784,2923.008,147407760,184985936,168851808,189790176,35.215,45.437,14.772,11.583,24.456,-25.746,26.505,40.426,48.27,41.667
2016/8/2,2950.08,2971.28,2946.64,2971.28,115468896,1.29E+11,920,135,2978.066,3003.606,3017.588,2986.683,2923.752,2924.942,115468896,176740816,164862560,183803408,33.924,41.599,18.573,8.315,21.228,-25.826,37.567,45.093,50.215,41.667
2016/8/3,2963.21,2981.16,2956.79,2978.46,141141328,1.59E+11,701,341,2975.358,2998.662,3015.646,2989.113,2926.191,2926.587,141141328,148936896,165152400,180241920,34.97,39.389,26.132,6.233,18.229,-23.993,41.787,46.914,50.987,50
2016/8/4,2976.41,2982.86,2958.93,2982.43,133933304,1.53E+11,646,387,2972.98,2993.004,3013.926,2992.129,2928.688,2928.412,133933304,137610560,162168992,175804512,36.723,38.5,33.167,4.847,15.553,-21.411,44.286,47.955,51.422,58.333
2016/8/5,2978.78,2991.68,2971.56,2976.7,141857104,1.62E+11,332,702,2972.452,2989.392,3013.356,2996.209,2931.016,2930.333,141857104,135961680,160153696,174448016,36.369,37.79,33.527,3.249,13.092,-19.686,41.221,46.519,50.744,58.333
2016/8/8,2972.62,3004.72,2959.05,3004.28,155729840,1.72E+11,911,164,2982.63,2988.237,3013.824,2999.829,2933.823,2931.73,155729840,137626096,161306016,171017600,43.461,39.68,51.021,4.16,11.306,-14.291,58.005,53.788,53.802,58.333
2016/8/9,3001.31,3025.91,2998.68,3025.68,169995440,1.88E+11,844,198,2993.51,2985.788,3012.639,3003.599,2937.132,2933.05,169995440,148531408,162636112,166543056,62.225,47.195,92.286,6.533,10.351,-7.635,66.825,58.555,56.012,66.667
2016/8/10,3023.47,3033.2,3017.09,3018.75,164675168,1.85E+11,324,729,3001.568,2988.463,3010.542,3006.505,2939.93,2934.348,164675168,153238176,151087536,162093840,70.059,54.817,100.545,7.766,9.834,-4.137,61.783,56.496,55.121,58.333
2016/8/11,3013.68,3038.05,3001.17,3002.64,161879488,1.80E+11,133,945,3005.61,2989.295,3007.973,3008.939,2942.58,2935.537,161879488,158827408,148218992,161178080,68.914,59.516,87.71,7.357,9.339,-3.963,51.039,51.87,53.072,50
2016/8/12,3000.27,3051.05,2999.04,3050.67,168173664,1.79E+11,985,98,3020.404,2996.428,3007.792,3012.879,2946.633,2936.566,168173664,164090720,150026192,160943440,79.154,66.062,105.34,10.785,9.628,2.314,69.817,61.992,57.936,58.333
2016/8/15,3056.48,3137.48,3053.87,3125.2,297616512,3.28E+11,1080,12,3044.588,3013.609,3011.874,3017.432,2951.937,2938.415,297616512,192468048,165047072,166949440,83.838,71.987,107.538,19.293,11.561,15.464,82.392,71.971,63.981,58.333
2016/8/16,3130.53,3140.44,3102.07,3110.04,278328928,3.09E+11,682,368,3061.46,3027.485,3015.545,3020.887,2956.68,2939.924,278328928,214134752,181333072,173097808,83.642,75.872,99.182,24.53,14.155,20.75,74.787,68.009,62.087,58.333
2016/8/17,3106.99,3114.25,3090.28,3109.55,213839632,2.43E+11,556,497,3079.62,3040.594,3019.628,3023.962,2961.112,2942.994,213839632,223967648,188602912,176877648,83.418,78.388,93.48,28.314,16.987,22.655,74.52,67.877,62.025,58.333
2016/8/18,3107.75,3125.58,3093.32,3104.11,229359088,2.57E+11,452,594,3099.914,3052.762,3022.883,3026.871,2965.819,2945.801,229359088,237463568,198145488,180157248,82.269,79.681,87.445,30.522,19.694,21.657,71.139,66.321,61.317,50
2016/8/19,3100.39,3113.34,3082.77,3108.1,194347456,2.12E+11,473,570,3111.4,3065.902,3027.647,3030.871,2970.702,2949.302,194347456,242698320,203394528,181774112,80.575,79.979,81.767,32.223,22.2,20.046,72.247,66.927,61.652,50
2016/8/22,3107.38,3112.74,3083.59,3084.81,185387920,2.08E+11,244,835,3103.322,3073.955,3031.096,3033.868,2975.075,2952.232,185387920,220252608,206360336,183833168,73.936,77.965,65.878,31.33,24.026,14.609,56.934,60.041,58.561,41.667
2016/8/23,3081.57,3101.11,3073.53,3089.71,161368960,1.79E+11,586,454,3099.256,3080.358,3033.073,3035.212,2979.553,2954.233,161368960,196860608,205497680,184066896,70.665,75.532,60.932,30.664,25.353,10.622,59.121,60.963,59.012,50
2016/8/24,3092.02,3097.15,3079.55,3085.88,145707440,1.68E+11,490,553,3094.522,3087.071,3037.767,3036.052,2983.944,2956.117,145707440,183234176,203600912,177344224,67.581,72.882,56.981,29.488,26.18,6.615,56.432,59.786,58.493,41.667
2016/8/25,3073.44,3073.44,3041.51,3068.33,174032976,2.01E+11,277,806,3087.366,3093.64,3041.468,3036.529,2986.472,2957.735,174032976,172168944,204816256,176517616,54.091,66.618,29.037,26.83,26.31,1.04,45.144,54.527,56.131,33.333
2016/8/26,3069.85,3087.65,3063.89,3070.31,149663904,1.76E+11,638,386,3079.808,3095.604,3046.016,3037.062,2989.085,2959.177,149663904,163232240,202965280,176495744,45.765,59.667,17.96,24.6,25.968,-2.736,46.59,55.014,56.338,41.667
2016/8/29,3068.46,3074.94,3058.79,3070.03,144500000,1.66E+11,611,421,3076.852,3090.087,3051.848,3037.945,2991.499,2960.582,144500000,155054656,187653632,176350352,41.818,53.717,18.019,22.55,25.285,-5.469,46.383,54.924,56.299,41.667
2016/8/30,3071.44,3082.99,3065.97,3074.68,140434816,1.64E+11,467,561,3073.846,3086.551,3057.018,3039.214,2993.765,2962.35,140434816,150867824,173864224,177598656,41.03,49.488,24.114,21.058,24.439,-6.763,50.754,56.232,56.821,41.667
2016/8/31,3072.92,3087.7,3063.4,3085.49,141368608,1.69E+11,584,438,3073.768,3084.145,3062.369,3041.134,2996.289,2964.689,141368608,150000064,166617120,177610016,47.763,48.913,45.462,20.511,23.654,-6.285,59.88,59.232,58.037,41.667
2016/9/1,3083.96,3088.7,3062.88,3063.31,155191088,1.77E+11,215,853,3072.764,3080.065,3066.414,3041.944,2998.41,2966.798,155191088,146231680,159200320,178672896,42.044,46.623,32.884,18.08,22.539,-8.918,41.119,51.353,54.737,41.667
2016/9/2,3057.49,3072.53,3050.49,3067.35,150446912,1.71E+11,450,583,3072.172,3075.99,3070.946,3043.761,3000.746,2968.53,150446912,146388288,154810256,179102400,42.481,45.242,36.958,16.292,21.29,-9.996,44.893,52.606,55.221,50
2016/9/5,3070.71,3085.49,3065.33,3072.1,144963312,1.61E+11,662,358,3072.586,3074.719,3074.337,3045.637,3004.73,2970.261,144963312,146480944,150767808,178564064,46.647,45.711,48.519,15.083,20.048,-9.93,49.463,54.121,55.801,58.333
2016/9/6,3071.06,3095.51,3053.19,3090.71,172908528,1.93E+11,962,115,3075.792,3074.819,3077.589,3046.988,3008.872,2972.096,172908528,152975696,151921760,178709728,61.468,50.963,82.478,15.449,19.129,-7.358,63.639,59.637,58.023,58.333
2016/9/7,3091.33,3105.68,3087.88,3091.93,186956768,2.07E+11,475,558,3077.08,3075.424,3081.248,3050.319,3012.284,2973.656,186956768,162093328,156046688,179823808,66.008,55.978,86.067,15.657,18.434,-5.554,64.424,59.981,58.167,66.667
2016/9/8,3089.95,3096.78,3083.9,3095.95,145883776,1.66E+11,610,418,3083.608,3078.186,3085.913,3053.707,3016.003,2974.829,145883776,160231856,153231776,179024016,71.462,61.139,92.107,15.963,17.94,-3.955,67.223,61.171,58.654,66.667
2016/9/9,3095.43,3101.79,3078.22,3078.85,160692928,1.82E+11,235,831,3085.908,3079.04,3087.322,3057.024,3019.232,2975.329,160692928,162281056,154334672,178649984,64.77,62.349,69.611,14.656,17.283,-5.255,47.965,53.754,55.771,66.667
2016/9/12,3037.51,3040.95,2999.93,3021.98,206012080,2.22E+11,91,996,3075.884,3074.235,3082.161,3059.31,3021.451,2975.518,206012080,174490816,160485888,174069760,50.13,58.276,33.838,8.928,15.612,-13.368,22.379,37.333,47.643,66.667
2016/9/13,3025.03,3029.72,3008.74,3023.51,135387584,1.53E+11,753,307,3062.444,3069.118,3077.834,3061.051,3023.867,2975.631,135387584,166986624,159981152,166922688,40.853,52.469,17.621,4.461,13.382,-17.842,23.693,37.889,47.856,66.667
2016/9/14,3008.9,3017.94,2995.42,3002.85,133413400,1.48E+11,341,725,3044.628,3060.854,3072.5,3061.864,3025.489,2975.98,133413400,156277952,159185632,162901376,29.481,44.806,-1.168,-0.738,10.558,-22.591,18.592,33.504,45.258,66.667
2016/9/19,3005.32,3026.65,3005.32,3026.05,119225024,1.33E+11,951,109,3030.648,3057.128,3068.596,3063.318,3027.724,2976.368,119225024,150946208,155589024,157394672,28.914,39.509,7.725,-2.952,7.856,-21.616,36.898,41.762,48.532,66.667
2016/9/20,3027.17,3027.82,3015.88,3023,118924120,1.40E+11,425,619,3019.478,3052.693,3064.342,3064.862,3030.535,2976.911,118924120,142592448,152436752,153623504,27.614,35.544,11.754,-4.896,5.306,-20.403,35.634,41.031,48.137,58.333
2016/9/21,3021.58,3032.45,3017.54,3025.87,115721216,1.34E+11,606,428,3020.256,3048.07,3061.395,3065.581,3032.705,2977.795,115721216,124534272,149512544,150140176,27.615,32.901,17.043,-6.135,3.018,-18.304,38.031,42.072,48.548,66.667
2016/9/22,3038.42,3054.44,3035.07,3042.31,139309552,1.59E+11,719,305,3024.016,3043.23,3059.024,3066.136,3034.867,2978.142,139309552,125318664,146152640,149037200,33.104,32.969,33.375,-5.724,1.269,-13.986,50.662,47.825,50.876,66.667
2016/9/23,3044.79,3046.8,3032.8,3033.9,125590976,1.47E+11,373,688,3030.226,3037.427,3056.426,3066.641,3036.573,2978.392,125590976,123754176,140016064,148031376,34.128,33.355,35.673,-6.007,-0.186,-11.643,45.028,45.313,49.676,58.333
2016/9/26,3028.24,3028.24,2980.12,2980.43,144330288,1.62E+11,84,1011,3021.102,3025.875,3052.031,3065.9,3037.42,2978.15,144330288,128775232,139860720,146546240,22.891,29.867,8.939,-10.427,-2.234,-16.385,24.36,33.215,42.956,50
2016/9/27,2974.59,2998.23,2969.13,2998.17,121701448,1.33E+11,861,211,3016.136,3017.807,3048.424,3064.15,3038.514,2977.692,121701448,129330696,135961568,145148128,26.607,28.78,22.261,-12.355,-4.258,-16.193,36.047,39.1,45.508,50
2016/9/28,3000.7,3000.7,2984.32,2987.86,104625696,1.16E+11,357,704,3008.534,3014.395,3044.315,3059.572,3038.502,2977.169,104625696,127111592,125822928,143154400,25.057,27.539,20.092,-14.547,-6.316,-16.463,32.54,37.031,44.306,41.667
2016/9/29,2992.17,3009.2,2991.91,2998.48,113213920,1.23E+11,657,357,2999.768,3011.892,3040.505,3055.854,3038.37,2977.087,113213920,121892464,123605568,141793360,28.173,27.75,29.017,-15.252,-8.103,-14.298,39.781,40.565,45.844,50
2016/9/30,2994.25,3009.2,2993.06,3004.7,101333560,1.13E+11,685,329,2993.928,3012.077,3036.466,3052.359,3038.16,2977.251,101333560,117040984,120397584,139791616,32.68,29.394,39.253,-15.134,-9.509,-11.25,44.005,42.622,46.742,58.333
2016/10/10,3020.46,3048.24,3014.62,3048.14,160051104,1.76E+11,1010,93,3007.47,3014.286,3035.707,3050.493,3038.682,2977.369,160051104,120185144,124480192,140034608,52.658,37.149,83.678,-11.404,-9.888,-3.031,64.736,54.597,52.488,58.333
2016/10/11,3051.62,3066.1,3048.02,3065.25,167273504,1.84E+11,783,263,3020.886,3018.511,3035.602,3049.065,3039.968,2977.716,167273504,129299560,129315128,140875936,68.147,47.481,109.478,-6.987,-9.308,4.643,69.987,58.333,54.505,66.667
2016/10/12,3057.32,3060.51,3048.89,3058.5,142493584,1.60E+11,431,634,3035.014,3021.774,3034.922,3048.188,3041.028,2977.648,142493584,136873136,131992360,140752448,76.152,57.038,114.38,-3.985,-8.243,8.517,65.378,56.338,53.569,58.333
2016/10/13,3057.97,3065,3052.64,3061.35,154756720,1.66E+11,485,557,3047.588,3023.678,3033.454,3047.242,3041.227,2977.473,154756720,145181696,133537080,139844864,82.468,65.515,116.376,-1.36,-6.867,11.013,66.496,57.015,53.917,66.667
2016/10/14,3056.99,3064.79,3043.18,3063.81,155373712,1.64E+11,426,641,3059.41,3026.669,3032.048,3046.507,3041.279,2977.354,155373712,155989728,136515360,138265712,87.525,72.852,116.872,0.908,-5.312,12.44,67.58,57.634,54.227,66.667
2016/10/17,3064.69,3068.81,3033.75,3041.17,163733264,1.81E+11,215,885,3058.016,3032.743,3029.309,3045.601,3041.065,2977.416,163733264,156726160,138455648,139158176,80.779,75.494,91.348,0.869,-4.076,9.889,49.785,50.356,50.94,58.333
2016/10/18,3037.4,3084.19,3037.4,3083.88,182042464,1.96E+11,1068,41,3061.742,3041.314,3029.561,3046.054,3041.558,2977.759,182042464,159679952,144489760,140225664,87.074,79.354,102.514,4.235,-2.414,13.297,68.539,60.596,56.17,66.667
2016/10/19,3085.75,3096.22,3076.77,3084.72,182470144,1.97E+11,432,634,3066.986,3051,3032.698,3046.543,3042.244,2978.693,182470144,167675264,152274192,139048560,87.667,82.125,98.75,6.891,-0.553,14.888,68.814,60.77,56.266,75
2016/10/20,3084.91,3089.68,3076.29,3084.46,160691360,1.78E+11,501,567,3071.608,3059.598,3035.745,3046.869,3043.042,2979.789,160691360,168862192,157021936,140313760,86.974,83.741,93.439,8.873,1.332,15.081,68.591,60.679,56.226,66.667
2016/10/21,3081.39,3101.85,3069.27,3090.94,187388064,2.02E+11,359,731,3077.034,3068.222,3040.149,3047.051,3044.092,2980.887,187388064,175265056,165627392,143012480,85.976,84.486,88.955,10.841,3.234,15.214,71.362,62.206,57.014,75
2016/10/24,3092.05,3137.03,3090.79,3128.25,240522352,2.50E+11,951,155,3094.45,3076.233,3045.26,3049.216,3045.58,2982.4,240522352,190622880,173674512,149077360,87.817,85.596,92.258,15.236,5.635,19.203,82.206,69.615,61.208,75
2016/10/25,3127.97,3132.5,3121.05,3131.94,203380896,2.21E+11,669,422,3104.062,3082.902,3050.707,3051.369,3047.565,2983.794,203380896,194890560,177285248,153300192,90.235,87.142,96.42,18.801,8.268,21.065,82.972,70.245,61.595,75
2016/10/26,3129.84,3129.84,3110.39,3116.31,191663264,2.16E+11,340,768,3110.38,3088.683,3055.229,3052.842,3049.24,2985.149,191663264,196729184,182202224,157097296,86.803,87.029,86.35,20.132,10.641,18.982,68.087,64.109,58.995,66.667
2016/10/27,3112.6,3114.76,3100.39,3112.35,158008784,1.82E+11,518,559,3115.958,3093.783,3058.73,3053.564,3050.276,2986.539,158008784,196192672,182527424,158032256,83.236,85.765,78.179,20.63,12.638,15.982,64.566,62.597,58.344,58.333
2016/10/28,3111.7,3128.64,3101.24,3104.27,181774128,2.13E+11,281,828,3118.624,3097.829,3062.249,3053.975,3052.147,2987.922,181774128,195069888,185167472,160841408,77.864,83.131,67.329,20.14,14.139,12.002,57.308,59.476,57.005,58.333
2016/10/31,3097.19,3102.3,3081.07,3100.49,151506768,1.78E+11,505,577,3113.072,3103.761,3068.252,3054.126,3053.917,2988.82,151506768,177266768,183944816,161200240,67.267,77.843,46.115,19.225,15.156,8.138,53.907,58,56.373,50
2016/11/1,3101.66,3122.61,3097.04,3122.44,160232032,1.96E+11,961,119,3111.172,3107.617,3074.466,3055.579,3056.302,2989.914,160232032,168636992,181763776,163126768,71.001,75.562,61.878,20.04,16.133,7.815,67.393,63.706,59.118,50
2016/11/2,3115.73,3118.98,3099.82,3102.73,182722064,2.22E+11,287,825,3108.456,3109.418,3080.209,3058.271,3058.791,2990.788,182722064,166848752,181788976,167031584,63.794,71.64,48.103,18.878,16.682,4.393,51.239,56.224,55.827,50
2016/11/3,3096.77,3140.93,3094.1,3128.94,222986256,2.66E+11,798,292,3111.774,3113.866,3086.732,3061.785,3061.418,2992.585,222986256,179844256,188018464,172520208,69.186,70.822,65.914,19.844,17.314,5.059,64.73,62.596,58.995,50
2016/11/4,3126.35,3141.33,3119.54,3125.32,197683200,2.39E+11,431,665,3115.984,3117.304,3092.763,3065.868,3063.866,2995.028,197683200,183026064,189047968,177337680,70.601,70.748,70.307,20.085,17.868,4.433,61.892,61.253,58.391,41.667
2016/11/7,3124.89,3139.2,3117.1,3133.33,179418496,2.11E+11,583,502,3122.552,3117.812,3097.022,3069.444,3066.381,2997.535,179418496,188608416,182937584,178306048,75.976,72.491,82.945,20.684,18.432,4.505,65.866,63.161,59.351,50
2016/11/8,3140.94,3156.88,3134.95,3147.89,190846976,2.22E+11,774,311,3127.642,3119.407,3101.155,3073.607,3069.234,3000.125,190846976,194731392,181684192,179484720,80.031,75.004,90.084,22.079,19.161,5.836,72.191,66.439,61.056,50
2016/11/9,3146.08,3146.95,3096.95,3128.37,241114960,2.77E+11,261,851,3132.77,3120.613,3104.648,3077.023,3071.302,3002.563,241114960,206409984,186629360,184415792,74.152,74.72,73.015,21.364,19.602,3.524,55.612,58.789,57.673,41.667
2016/11/10,3148.54,3172.31,3148.54,3171.28,244192608,2.86E+11,1064,57,3141.238,3126.506,3110.145,3081.322,3073.729,3005.431,244192608,210651248,195247744,188887584,82.391,77.277,92.62,23.982,20.478,7.009,72.358,67.706,62.446,41.667
2016/11/11,3169.4,3202.74,3166.07,3196.04,310854592,3.44E+11,739,359,3155.382,3135.683,3116.756,3086.727,3076.684,3008.307,310854592,233285520,208155792,196661632,86.205,80.253,98.109,27.736,21.929,11.613,78.083,71.578,64.833,50
2016/11/14,3187.71,3221.46,3186.8,3210.37,329608320,3.47E+11,640,445,3170.79,3146.671,3125.216,3094.392,3080.146,3011.363,329608320,263323488,225965952,204955392,87.901,82.802,98.098,31.504,23.844,15.319,80.839,73.578,66.134,58.333
2016/11/15,3209.95,3214.29,3195.04,3206.99,240886352,2.67E+11,617,473,3182.61,3155.126,3131.372,3101.352,3082.751,3014.692,240886352,273331360,234031376,207897584,88.147,84.584,95.273,33.827,25.841,15.973,78.061,72.269,65.537,58.333
2016/11/16,3208.5,3210.89,3195.41,3205.06,221766992,2.45E+11,479,589,3197.948,3165.359,3137.388,3108.592,3084.082,3018.01,221766992,269461760,237935872,209862416,87.707,85.625,91.872,35.108,27.694,14.828,76.265,71.477,65.187,58.333
2016/11/17,3198.5,3211.05,3187.21,3208.45,214206240,2.27E+11,474,602,3205.382,3173.31,3143.588,3115.591,3085.722,3021.201,214206240,263464496,237057872,212538160,88.322,86.524,91.918,35.982,29.352,13.261,77.363,72.064,65.525,58.333
2016/11/18,3207.19,3212.39,3187.5,3192.86,209826640,2.35E+11,368,719,3204.746,3180.064,3148.684,3121.863,3087.111,3024.111,209826640,243258912,238272224,213660096,84.558,85.869,81.937,35.013,30.484,9.058,61.631,65.325,62.61,58.333
2016/11/21,3188.5,3229.76,3188.28,3218.15,230652848,2.63E+11,675,387,3206.302,3188.546,3153.179,3127.53,3089.012,3027.415,230652848,223467808,243395648,213166624,86.791,86.176,88.022,35.873,31.562,8.621,72.512,70.249,65.228,58.333
2016/11/22,3220.98,3249.68,3220.98,3248.35,261631552,2.92E+11,842,236,3214.574,3198.592,3159,3133.634,3091.349,3031.026,261631552,227616848,250474112,216079152,90.756,87.703,96.862,38.546,32.959,11.175,80.455,74.893,68.019,66.667
2016/11/23,3247.94,3262.88,3231.59,3241.14,249959584,2.78E+11,287,796,3221.79,3209.869,3165.241,3139.722,3093.955,3034.515,249959584,233255376,251358576,218993968,86.352,87.252,84.551,39.626,34.292,10.668,74.304,71.967,66.686,58.333
2016/11/24,3237.43,3257.86,3232.87,3241.74,232324528,2.67E+11,402,678,3228.448,3216.915,3171.71,3145.735,3096.489,3038.021,232324528,236879024,250171760,222709760,81.639,85.381,74.155,40.069,35.448,9.243,74.498,72.066,66.742,58.333
2016/11/25,3241.24,3262.44,3209.6,3261.94,233921600,2.59E+11,556,520,3242.264,3223.505,3179.594,3152.339,3099.423,3041.683,233921600,241698016,242478464,225317136,87.345,86.036,89.964,41.571,36.672,9.797,80.475,75.275,68.616,66.667
2016/11/28,3270.05,3288.34,3267.67,3277,281551264,3.00E+11,542,535,3254.034,3230.168,3188.419,3160.2,3102.901,3044.686,281551264,251877712,237672768,231819360,87.826,86.633,90.212,43.474,38.033,10.883,83.859,77.388,69.933,66.667
2016/11/29,3269.23,3301.21,3263.4,3282.92,320836288,3.48E+11,288,816,3260.948,3237.761,3196.444,3166.835,3106.444,3047.765,320836288,263718656,245667760,239849568,86.536,86.6,86.407,44.943,39.415,11.057,85.079,78.187,70.442,66.667
2016/11/30,3272.14,3277.27,3239.52,3250.03,243576048,2.63E+11,374,728,3262.726,3242.258,3203.809,3172.345,3109.444,3050.471,243576048,262441952,247848656,242892272,76.021,83.074,61.915,42.958,40.123,5.669,56.572,64.392,64.147,58.333
2016/12/1,3257.03,3279.67,3256.26,3273.31,237759872,2.62E+11,812,282,3269.04,3248.744,3211.027,3178.64,3112.755,3053.26,237759872,263529008,250204016,243630944,75.779,80.642,66.052,42.77,40.653,4.235,66.193,68.661,66.367,66.667
2016/12/2,3270.12,3279.71,3235.28,3243.84,259567200,2.82E+11,162,951,3265.42,3253.842,3216.953,3183.737,3115.394,3055.841,259567200,268658144,255178080,246725152,62.978,74.754,39.425,39.785,40.479,-1.389,49.526,58.907,61.349,66.667
2016/12/5,3203.78,3219.52,3194.88,3204.71,223010400,2.39E+11,373,717,3250.962,3252.498,3220.522,3186.285,3117.75,3058.08,223010400,256949968,254413840,248904736,45.067,64.858,5.484,33.871,39.157,-10.573,35.345,48.854,55.531,58.333
2016/12/6,3202.03,3215.31,3196.52,3199.65,157572688,1.77E+11,655,417,3234.308,3247.628,3223.11,3188.542,3119.956,3060.351,157572688,224297248,244007952,247241024,31.54,53.752,-12.885,28.448,37.016,-17.136,33.841,47.705,54.83,58.333
2016/12/7,3198.47,3222.43,3189.49,3222.24,169072848,1.89E+11,998,114,3228.75,3245.738,3227.803,3192.073,3122.458,3063.594,169072848,209396608,235919280,243638928,30.798,46.101,0.193,25.677,34.748,-18.142,46.121,53.078,57.34,58.333
