,ret_real,ret_ratio_real,ret_ratio_real_weight_old,ret_real_weight_old,ret_ratio_weight_alloc,ret_weight_alloc,cum_ret_real,cum_ret_real_weight_old,cum_ret_weight_alloc
2018-10-24,1.6582369999999855,0.021850441531936937,-0.004360264064051933,-0.2880071705409625,0.033670782183189654,2.2240457376037495,85.42041,66.34417689230466,81.53155846292202
2018-10-25,8.65119,0.16327944594542299,0.0,0.0,0.0,0.0,94.0716,66.34417689230466,81.53155846292202
2018-10-26,13.774799999999999,0.09906442985165653,0.1180317847519991,14.043421749792852,0.17581894929727915,20.918938587390272,107.8464,80.38759864209752,102.4504970503123
2018-10-27,13.874300000000005,0.09185899545217091,0.0933878982346087,14.10522410024689,-0.06750138580698484,-10.195348561039765,121.72070000000001,94.4928227423444,92.25514848927253
2018-10-28,75.03629999999998,0.2995028263380701,0.30353237100389613,76.04584680830632,0.07239977932265508,18.13876559233658,196.757,170.53866955065072,110.39391408160911
2018-10-29,96.80200000000002,0.2976929274788267,0.30928789866015954,100.57238315891873,0.44661411003977325,145.22729661807324,293.559,271.11105270956944,255.62121069968236
2018-10-30,59.04789999999997,0.2103470939542207,0.20715112380813155,58.15073844648536,0.3211272160656062,90.14570814868074,352.6069,329.2617911560548,345.7669188483631
2018-10-31,183.60379999999992,0.6665759038524091,0.728934062477142,200.77993075770394,0.6972000790894477,192.0390208246506,536.2106999999999,530.0417219137587,537.8059396730137
2018-11-01,223.6889,0.8790325211015606,0.9290951312015524,236.4284174985821,0.8154380656361033,207.5059108071308,759.8995999999999,766.4701394123408,745.3118504801445
2018-11-02,136.34633000000002,0.46981404028897367,0.472978038933522,137.2645648042298,0.779813529603979,226.31233579237139,896.2459299999998,903.7347042165707,971.6241862725159
2018-11-03,279.76769999999993,0.9042075715927103,0.9239540445853652,285.8773870960018,2.1118769332681704,653.4284503532382,1176.0136299999997,1189.6120913125724,1625.052636625754
2018-11-04,273.68759999999986,0.6248409859464905,0.6256339121650927,274.03491088169176,0.6576762716781744,288.0698360397919,1449.7012299999997,1463.6470021942641,1913.122472665546
2018-11-05,288.61619999999994,0.5396985262905942,0.5473127072257279,292.6880583812242,0.8819668425966418,471.652054315934,1738.3174299999996,1756.3350605754883,2384.77452698148
2018-11-06,216.82869999999997,0.47591785884625826,0.4283111271409639,195.13902066766303,0.6772580480835226,308.55951169070585,1955.1461299999996,1951.4740812431514,2693.3340386721857
2018-11-07,331.65990999999997,0.6988228289799541,0.7057119824699779,334.92948839916676,1.0902175247840846,517.4150459253017,2286.8060399999995,2286.403569642318,3210.749084597487
2018-11-08,251.10559999999998,0.45223987016988954,0.460387778575423,255.62971554989147,0.552868902794572,306.97973954711244,2537.9116399999994,2542.0332851922094,3517.7288241445995
2018-11-09,206.66569999999996,0.47793049270162036,0.47817075546493354,206.76959391956007,0.6394150898615942,276.49453038626183,2744.5773399999994,2748.8028791117695,3794.2233545308613
2018-11-10,154.49990000000003,0.35060401508800965,0.34908745896731536,153.83160255071712,0.3730724950577579,164.40103563761303,2899.0772399999996,2902.6344816624865,3958.6243901684743
2018-11-11,113.01156000000009,0.2590989094885845,0.25535394967282177,111.37811525971918,0.14714767362828574,64.18162152795983,3012.0887999999995,3014.012596922206,4022.8060116964343
2018-11-12,84.85340000000002,0.18553923390782234,0.181866175994226,83.17358573214335,0.27113714830722113,124.00023658393467,3096.9421999999995,3097.186182654349,4146.806248280369
2018-11-13,138.88160000000005,0.40960194039605424,0.41369880585577634,140.27070286772764,0.3953445922614118,134.04743510619713,3235.8237999999997,3237.456885522077,4280.853683386566
2018-11-14,81.02660000000003,0.5288065816764065,0.5238506678159505,80.26722811636613,0.4488662116652645,68.77770482889481,3316.8504,3317.7241136384428,4349.631388215461
2018-11-15,36.17050000000003,0.21417566306494962,0.2167185949212845,36.599956434934334,0.0771994287409934,13.037624804407944,3353.0209,3354.3240700733772,4362.6690130198685
2018-11-16,81.6086,0.46780751520070885,0.46489696597627617,81.100857307292,0.4463387420466789,77.8633918451753,3434.6295,3435.424927380669,4440.532404865044
2018-11-17,92.86509999999998,0.5222177797347216,0.520153528704546,92.49801774853063,0.7304895791039085,129.9017200197636,3527.4946,3527.9229451291994,4570.434124884807
2018-11-19,89.69530000000003,0.4798264403036816,0.49997826390443056,93.46233681079413,0.5059759862637259,94.5835078450398,3617.1899,3621.3852819399935,4665.017632729847
2018-11-20,61.874300000000005,0.34732822284943166,0.2353699114397726,41.92964335556227,0.717700274971847,127.85371070447471,3679.0642,3663.314925295556,4792.871343434322
2018-11-21,62.065499999999986,0.43718905165995237,0.27924696954565353,39.64326810685175,0.5156527148625908,73.20458610019621,3741.1297,3702.9581934024077,4866.075929534518
2018-11-22,70.41139999999999,0.5268677768507535,0.5760549310700649,76.98484507060009,0.8151985778011005,108.94436073520578,3811.5411,3779.9430384730076,4975.020290269724
2018-11-23,114.0397,1.1132188744003888,1.0482480728916233,107.38400013431993,0.7028463148517482,72.00056047825387,3925.5807999999997,3887.3270386073277,5047.020850747977
2018-11-24,95.4075,0.7689149077979089,0.7768982898583012,96.39808363442093,0.9246943294473607,114.73671968385914,4020.9882999999995,3983.7251222417485,5161.757570431837
2018-11-25,95.85050000000004,0.7047494053593031,0.7752537921045703,105.43955487587024,0.7291273718431466,99.1660618985849,4116.8387999999995,4089.164677117619,5260.923632330422
2018-11-26,60.1739,0.3512499883255036,0.28982207216581635,49.6504625421858,0.5843982614552427,100.11537000363886,4177.012699999999,4138.815139659805,5361.039002334061
2018-11-27,0.0,0.0,0.0,0.0,0.0,0.0,4177.012699999999,4138.815139659805,5361.039002334061
2018-11-28,139.01100000000002,0.6358823335675392,0.8336292472618413,182.24069009900782,0.46678386680729855,102.0441812633837,4316.0237,4321.055829758813,5463.083183597444
2018-11-29,45.30770000000001,0.2942971909462808,0.3020201892716452,46.496672582786175,0.3708267429525096,57.089592896373354,4361.3314,4367.552502341599,5520.172776493818
2018-11-30,101.5204,0.4945093699219465,0.47608838555174504,97.73866032952262,0.45286090334509105,92.97016972441115,4462.8518,4465.291162671122,5613.142946218229
2018-12-01,122.80029999999996,0.588362994166213,0.6242087491390679,130.2818539183104,0.6949224785927106,145.04088410397333,4585.6521,4595.573016589433,5758.183830322202
2018-12-02,107.81790000000001,0.41172157731156833,0.49656881292993094,130.03692195389266,0.30155231371357316,78.96777578925575,4693.47,4725.609938543325,5837.151606111458
2018-12-03,95.51899999999995,0.3928176779675583,0.5121498571249072,124.53625421296381,0.7210863267897607,175.34201924160735,4788.9890000000005,4850.14619275629,6012.493625353065
2018-12-04,97.35130000000001,0.4755417977828862,0.616119635891186,126.12991705288157,0.8906661927171471,182.33415470799912,4886.340300000001,4976.276109809171,6194.827780061064
2018-12-05,76.85219999999998,0.36012775851840595,0.42683397286212316,91.08747957710652,0.5472388553284051,116.78219454810551,4963.192500000001,5067.363589386278,6311.6099746091695
2018-12-06,80.59789999999998,0.46839664117151014,0.5380651208575039,92.58588766968035,0.6851126261366348,117.88863129332043,5043.790400000001,5159.949477055959,6429.4986059024895
2018-12-07,53.28129999999999,0.2834453947364921,0.38261658918066144,71.92323336938995,0.544880325569189,102.42513242361711,5097.0717,5231.8727104253485,6531.923738326107
2018-12-08,63.62809999999999,0.3386822562032388,0.4215641647841654,79.19909101233524,0.6585871401833956,123.72850259139845,5160.6998,5311.0718014376835,6655.652240917506
2018-12-09,79.62310000000002,0.4430362772602485,0.5244203095970053,94.24955222920723,0.7091616111070693,127.45151757441806,5240.3229,5405.321353666891,6783.103758491924
2018-12-10,85.84869999999998,0.4399408825291371,0.5580447684603499,108.89512617857045,0.716899376519788,139.8935219460042,5326.1716,5514.216479845461,6922.997280437929
2018-12-11,124.2201,0.5676155095718212,0.6936002116035759,151.79128510849037,1.0245149423775592,224.21048482208815,5450.3917,5666.007764953952,7147.2077652600165
2018-12-12,44.01894999999999,0.2415604121222097,0.37897384496816333,69.059456333936,0.6198552568208475,112.954673812321,5494.41065,5735.067221287888,7260.162439072337
2018-12-13,13.109659999999991,0.09075217575504158,0.12091139999685105,17.466328833385116,0.20439184984409964,29.52554730433932,5507.52031,5752.533550121273,7289.687986376676
2018-12-14,0.6700199999999938,0.004588901490869102,0.04981345511888521,7.273202805762287,0.13799386524859822,20.14831867230953,5508.190329999999,5759.806752927036,7309.836305048986
2018-12-15,36.819109999999995,0.28434184585256683,0.32899550604743716,42.601262893070924,0.3913930719532762,50.681054440919866,5545.00944,5802.408015820107,7360.517359489906
2018-12-16,69.51759999999996,0.34719705611481455,0.49409399515066005,98.93006899783995,0.7517799696259612,150.52529477435203,5614.52704,5901.338084817947,7511.042654264258
2018-12-17,72.16489999999999,0.3974844949711931,0.5077995438835211,92.19303839022879,0.7439835140274448,135.07318290573872,5686.69194,5993.531123208176,7646.115837169997
2018-12-18,42.877290000000016,0.29403673908556205,0.40676889989381027,59.316220612325104,0.6024537279867516,87.85154973083928,5729.56923,6052.847343820501,7733.967386900836
